Length,Count,Coverage,Query,Mosquito,Lowest E-value,Greatest identity %,Greatest HSP length,Family,Description (HSP length)
1158,74,6.350604491,1_bowtie2_1_contig_10839,Aedes vexans,0,92.73,1156,Flaviviridae,MW434112.1 Placeda virus isolate CMS001_039_ALCO genomic sequence
11180,6555,59.06529517,31_bowtie2_1_contig_1730,Aedes canadensis,0,67.39,3241,Negevirus,"MN053735.1 Guadeloupe mosquito mononega-like virus strain Ab-AAF-1-3/1 nucleoprotein (orf1), hypothetical protein (orf2), glycoprotein (orf3), glycoprotein (orf4), hypothetical protein (orf5), and RNA-dependent RNA polymerase (orf6) genes, complete cds"
9899,26442,266.1261744,6_bowtie2_1_contig_320,Aedes vexans,0,77.65,2057,Iflaviridae,"MT498832.1 Fitzroy Crossing iflavirus 1 isolate FCIV1/pool-6, complete genome"
9873,11120,112.2436949,15_bowtie2_1_contig_619,Ochlerotatus dorsalis,0,80.82,9659,Negevirus,"MT522375.1 Mekrijarvi negevirus isolate P39, complete genome"
9864,5395,54.53396188,16_bowtie2_1_contig_447,Ochlerotatus dorsalis,0,80.89,9658,Negevirus,"MT522375.1 Mekrijarvi negevirus isolate P39, complete genome"
369,125,32.25474255,10_bowtie2_1_contig_1703,Culex tarsalis,0,98.64,369,Iflaviridae,MW434121.1 Culex Iflavi-like virus 4 isolate CMS002_034a_COAV genomic sequence
7444,2066,27.59725954,10_bowtie2_1_contig_221,Culex tarsalis,0,98.22,7420,Iflaviridae,MW434121.1 Culex Iflavi-like virus 4 isolate CMS002_034a_COAV genomic sequence
9625,24899,258.8422857,37_bowtie2_1_contig_298,Aedes vexans,0,80.67,9564,Negevirus,"MT522375.1 Mekrijarvi negevirus isolate P39, complete genome"
9573,50940,535.8762,30_bowtie2_contig_78,Culex tarsalis,0,87.78,9436,Picornavirales,MN661035.1 Atrato picorna-like virus 1 strain An 1771-1 genomic sequence
9570,2545,26.81128527,29_bowtie2_1_contig_1517,Aedes vexans,0,78.49,5505,Negevirus,"KX518756.1 Big Cypress virus strain BCNP3-128A hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
9488,3300,34.98187184,23_bowtie2_contig_673,Culex tarsalis,0,87.95,9438,Picornavirales,"MH703052.1 Yongsan picorna-like virus 2 strain 16-0131/ROK/2016 putative polyprotein gene, complete cds"
9483,114413,1207.775282,25_bowtie2_1_contig_80,Aedes vexans,0,83.96,3592,Negevirus,"MT522375.1 Mekrijarvi negevirus isolate P39, complete genome"
9246,34983,381.0082198,37_bowtie2_1_contig_615,Aedes vexans,0,74.11,2546,Iflaviridae,"LC310707.1 Armigeres iflavirus gene for polyprotein, complete cds, strain: 10P38-310"
9240,34396,371.5812771,16_bowtie2_1_contig_45,Ochlerotatus dorsalis,0,74.31,2546,Iflaviridae,"LC310707.1 Armigeres iflavirus gene for polyprotein, complete cds, strain: 10P38-310"
9236,1730,18.88317453,25_bowtie2_1_contig_729,Aedes vexans,0,78.8,5505,Negevirus,"KX518756.1 Big Cypress virus strain BCNP3-128A hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
9235,13185,143.8844613,22_bowtie2_1_contig_310,Aedes vexans,0,74.31,2599,Iflaviridae,"LC310707.1 Armigeres iflavirus gene for polyprotein, complete cds, strain: 10P38-310"
9235,471265,5067.401733,15_bowtie2_1_contig_13,Ochlerotatus dorsalis,0,76.42,2546,Iflaviridae,"LC310707.1 Armigeres iflavirus gene for polyprotein, complete cds, strain: 10P38-310"
639,591,91.60876369,1_bowtie2_1_contig_1935,Aedes vexans,5.05E-110,74.64,622,Picornavirales,"MH703050.1 Yongsan picorna-like virus 1 strain 16-0061/ROK/2016 putative polyprotein gene, partial cds"
396,10,2.550505051,15_bowtie2_1_contig_25651,Ochlerotatus dorsalis,0,100,396,Dicistroviridae,"MT195550.1 Soybean thrips dicistrovirus 1 strain STN1, complete genome"
535,16,3.020560748,16_bowtie2_1_contig_19109,Ochlerotatus dorsalis,0,99.07,535,Dicistroviridae,"MT195550.1 Soybean thrips dicistrovirus 1 strain STN1, complete genome"
8930,1859,20.97905935,38_bowtie2_contig_436,Culex tarsalis,1.43E-168,70.48,2213,Picornavirales,"KX883917.1 Hubei mosquito virus 1 strain mosHB236488 hypothetical protein gene, complete cds"
665,86,12.89473684,1_bowtie2_1_contig_22723,Aedes vexans,0,99.55,665,Rhabdoviridae,"MH664044.1 Flanders hapavirus isolate NE00-23, complete genome"
397,11,2.780856423,16_bowtie2_1_contig_26064,Ochlerotatus dorsalis,0,100,396,Dicistroviridae,"MT195550.1 Soybean thrips dicistrovirus 1 strain STN1, complete genome"
8321,2581,30.97091696,20_bowtie2_1_contig_2146,Aedes vexans,5.31E-123,83.33,2057,Iflaviridae,"MT498832.1 Fitzroy Crossing iflavirus 1 isolate FCIV1/pool-6, complete genome"
8287,2890,34.72981779,10_bowtie2_1_contig_1087,Culex tarsalis,1.62E-110,77.65,2057,Iflaviridae,"MT498832.1 Fitzroy Crossing iflavirus 1 isolate FCIV1/pool-6, complete genome"
8033,4989,61.83107183,3_bowtie2_1_contig_2175,Aedes vexans,0,78.11,4324,Rhabdoviridae,"NC_040669.1 Riverside virus 1 strain RISV-Drava 1, complete genome"
8030,10091,126.0450809,36_bowtie2_1_contig_7,Aedes vexans,8.66E-152,71.68,1653,Picornavirales,"KX883918.1 Hubei mosquito virus 1 strain mosZJ34341 hypothetical protein gene, complete cds"
